generation,N_shifts,logPrior,logLik,eventRate,acceptRate
11500000,439,2376.67,-59955.7,438.105,0.38
11550000,448,2451.46,-59959.5,401.406,0.386
11600000,462,2519.29,-59974.9,426.968,0.407
11650000,471,2541.19,-59953.2,482.205,0.406
11700000,481,2633.91,-59948.1,480.708,0.411
11750000,488,2669.61,-59944.6,471.621,0.444
11800000,495,2700.61,-59942.3,501.718,0.387
11850000,512,2783.39,-59876.6,515.471,0.4
11900000,485,2663.03,-59921.3,496.117,0.422
11950000,481,2653.14,-59957.1,440.715,0.409
12000000,498,2745.28,-59907.9,478.324,0.397
12050000,479,2588.63,-59918.5,511.882,0.417
12100000,476,2628.89,-59946,451.781,0.41
12150000,463,2523.44,-59958.3,440.61,0.429
12200000,487,2624.83,-59928.6,480.282,0.407
12250000,475,2572.23,-59952.3,443.86,0.422
12300000,499,2781.38,-59942.4,482.692,0.409
12350000,484,2641.25,-59961.8,487.386,0.400333
12400000,496,2758.75,-59974.8,498.699,0.41
12450000,517,2881.98,-59898.6,548.736,0.405
12500000,488,2662.91,-59920.5,433.083,0.382
12550000,503,2747.09,-59941.4,493.803,0.402
12600000,516,2912.87,-59957.9,490.322,0.432
12650000,507,2783.59,-59919.7,522.464,0.429
12700000,508,2784.12,-59983.2,505.991,0.399
12750000,475,2606.67,-59934.4,488.547,0.41
12800000,466,2571.73,-59995,449.524,0.396
12850000,494,2687.38,-60009.4,478.564,0.44
12900000,461,2524.44,-60020.2,435.197,0.378
12950000,434,2374.36,-60047.3,400.985,0.401
13000000,428,2321.83,-60100.3,391.055,0.403
13050000,433,2415.63,-60089.3,405.143,0.384
13100000,410,2257.71,-60071.5,420.912,0.417
13150000,425,2355.15,-60093.2,399.853,0.376
13200000,436,2416.22,-60055.7,428.228,0.407
13250000,462,2568.36,-60072.2,472.799,0.41
13300000,425,2383.45,-60051.9,392.868,0.4
13350000,442,2437.73,-60033.5,428.219,0.391
13400000,373,2052.93,-60125,377.627,0.390356
13450000,441,2435.89,-59982.7,440.341,0.392929
13500000,462,2554.14,-59974,471.455,0.429
13550000,484,2715.33,-59943.9,478.911,0.399
13600000,499,2767.04,-59925.8,482.885,0.409
13650000,470,2598.93,-59927.8,452.964,0.395
13700000,481,2704.92,-59953.9,467.034,0.367
13750000,485,2687.11,-59925.6,475.728,0.39
13800000,488,2709.64,-59910.5,461.368,0.378
13850000,525,2876.16,-59944.5,547.478,0.398
13900000,541,2939.45,-59950.2,537.093,0.38
13950000,534,2985.28,-59942.9,531.485,0.43
14000000,529,2931.3,-59944.6,476.238,0.398
14050000,503,2798.66,-59943.9,509.129,0.394
14100000,507,2779.18,-59914.4,531.88,0.38
14150000,493,2704.57,-59921.2,467.751,0.396
14200000,510,2840.26,-59914.4,551.002,0.399
14250000,511,2826.79,-59914.2,491.127,0.392
14300000,488,2718.02,-59910.6,492.303,0.379
14350000,458,2462.34,-59933.6,441.232,0.395
14400000,462,2561.94,-59932.4,479.423,0.412
14450000,448,2437.97,-59966.9,446.64,0.416
14500000,460,2543,-59957.8,424.268,0.413
14550000,444,2448.25,-59979.3,468.479,0.393
14600000,427,2328.61,-59976.7,378.272,0.371
14650000,443,2436.84,-59970.8,453.878,0.422
14700000,411,2286.71,-60012,411.63,0.417
14750000,425,2341.4,-60045.2,428.37,0.389
14800000,454,2485.21,-59991.1,451.028,0.392
14850000,478,2645.11,-59956,480.02,0.37
14900000,511,2831.38,-59944.7,521.748,0.38
14950000,493,2710.81,-59933.4,470.021,0.4
15000000,492,2686.76,-60001.3,498.795,0.409
15050000,497,2771.35,-59963.5,501.448,0.412
15100000,522,2846.45,-59966.9,527.544,0.415
15150000,484,2652.06,-59915.2,462.041,0.422
15200000,469,2586.74,-59942.3,459.305,0.415
15250000,465,2563.03,-59969.9,437.306,0.378
15300000,457,2528.91,-59957.1,438.961,0.385
15350000,485,2690.37,-59952.6,448.312,0.4
15400000,464,2563.35,-59913.2,427.715,0.388
15450000,468,2554.85,-59978.2,489.285,0.422
15500000,481,2632.02,-59939.2,509.199,0.42
15550000,446,2473.8,-59937.5,460.805,0.371
15600000,425,2351.5,-60079.3,444.248,0.401
15650000,427,2344.87,-59959,440.571,0.4
15700000,454,2491.94,-59967.8,454.816,0.415
15750000,431,2366.89,-59973.3,401.547,0.388
15800000,447,2401.87,-59898.5,437.26,0.398
15850000,444,2461.31,-59940.6,410.283,0.409
15900000,469,2577.81,-59964.9,468.344,0.39225
15950000,466,2571.23,-59971.3,409.753,0.396
16000000,459,2571.55,-60005.9,440.164,0.417
16050000,437,2385.42,-59985.4,407.775,0.399
16100000,430,2373.54,-60077.3,420.684,0.383
16150000,424,2316.2,-60054.8,417.171,0.397667
16200000,437,2417.02,-60044.8,453.037,0.386
16250000,445,2436.53,-59997.2,430.921,0.416
16300000,435,2408.3,-60029.6,434.625,0.421
16350000,457,2532.08,-60001.4,424.113,0.415
16400000,449,2509.75,-60001.1,466.345,0.398
16450000,445,2447.64,-60003.3,440.585,0.393
16500000,433,2367.21,-59976.9,466.031,0.398
16550000,476,2653.29,-59989.1,468.634,0.407
16600000,473,2612.43,-59949,465.615,0.411
16650000,465,2554.15,-59977.7,450.273,0.424
16700000,451,2494.59,-59955.8,455.826,0.393
16750000,445,2474.5,-59926.7,410.218,0.429
16800000,441,2432.38,-59935.1,430.449,0.403
16850000,452,2510.4,-59935.4,479.83,0.401
16900000,481,2660.46,-59924.9,448.823,0.379
16950000,481,2618.53,-59997.7,498.409,0.382
17000000,505,2836.75,-59940.6,510.811,0.404
17050000,490,2756.79,-59917.3,484.133,0.393
17100000,476,2676.39,-59923.5,460.815,0.411
17150000,455,2486.03,-59903.4,427.619,0.385
17200000,457,2548.09,-59942.4,469.94,0.402
17250000,434,2442.11,-59926.4,455.178,0.425
17300000,445,2423.31,-59947.3,481.81,0.369
17350000,442,2449.64,-59973.8,451.1,0.402
17400000,436,2416.15,-59926,440.681,0.405
17450000,413,2286.55,-60042.4,436.945,0.399
17500000,442,2427.88,-60008.8,457.965,0.408143
17550000,448,2491.52,-60010.6,421.742,0.409
17600000,407,2199.65,-60060.3,391.166,0.393
17650000,425,2336.8,-60003.1,414.716,0.396
17700000,466,2507.36,-60025.5,449.028,0.397
17750000,451,2464.4,-59986,437.74,0.404
17800000,447,2454.5,-59938.2,438.324,0.403
17850000,469,2589.14,-59938.6,435.092,0.407
17900000,493,2754.32,-59975.6,460.643,0.404
17950000,469,2604.75,-59898.7,426.913,0.383
18000000,494,2731.89,-59840.2,484.336,0.419
18050000,511,2818.79,-59888.4,486.21,0.425
18100000,498,2761.97,-59871.6,470.385,0.403
18150000,535,2941.51,-59871.6,532.685,0.394
18200000,520,2812.71,-59886.1,542.689,0.408
18250000,508,2815.69,-59894.2,470.323,0.423
18300000,532,2902.71,-59921.9,519.503,0.412
18350000,522,2901.05,-59874.5,496.049,0.426
18400000,530,2936.94,-59894.6,552.897,0.389
18450000,551,3049.62,-59896.7,515.533,0.401
18500000,564,3138.35,-59929,543.472,0.4
18550000,523,2842.51,-59892.6,522.638,0.452
18600000,508,2777.57,-59917.1,498.273,0.399
18650000,514,2841.02,-59877.2,499.777,0.413
18700000,506,2758.47,-59931.9,523.985,0.399
18750000,520,2837.55,-59936.6,529.736,0.416
18800000,516,2807.23,-59919,510.991,0.403
18850000,508,2834.11,-59955.9,467.933,0.393
18900000,501,2792.51,-59921.6,506.737,0.371
18950000,467,2611.19,-59966.1,469.279,0.404
19000000,506,2832.12,-59957.4,509.466,0.388
19050000,500,2817.02,-59978.6,485.182,0.42
19100000,481,2672.69,-59916.8,458.793,0.383
19150000,466,2579.06,-60001.1,455.711,0.396
19200000,467,2538.59,-59984.3,462.715,0.389
19250000,467,2595.7,-59995.5,417.164,0.399
19300000,429,2416.66,-59983.3,391.345,0.354
19350000,453,2511.42,-60016.2,504.577,0.374
19400000,457,2528.63,-59978.8,464.488,0.408
19450000,446,2456.87,-60053.6,468.227,0.396
19500000,454,2517.44,-59991.1,457.827,0.409
19550000,422,2331.18,-59991,429.867,0.396
19600000,407,2246.28,-59978.6,373.944,0.377
19650000,421,2325.11,-60037.7,446.181,0.379
19700000,451,2492.59,-59989.1,442.254,0.4
19750000,481,2675.37,-59935.3,464.483,0.409
19800000,523,2853.43,-59957.6,522.644,0.395
19850000,516,2873.96,-59968.9,504.26,0.412
19900000,507,2812.94,-59930.5,532.37,0.386
19950000,507,2756.95,-59974.7,511.111,0.397
20000000,488,2677.25,-59964.5,480.2,0.427
20050000,477,2641.02,-59920.1,500.91,0.385
20100000,481,2647.77,-59890.4,489.351,0.393
20150000,480,2594.25,-59956.7,474.621,0.394
20200000,460,2509.36,-59914.3,457.241,0.402
20250000,496,2691.04,-59943.7,482.287,0.413
20300000,507,2773.23,-59946.8,491.962,0.395
20350000,480,2630.79,-59907.5,472.489,0.408
20400000,493,2703.02,-59891.8,479.086,0.395
20450000,480,2597.88,-59962.1,484.752,0.398
20500000,491,2681.8,-59939.2,448.929,0.406
20550000,463,2516.33,-59956.2,449.121,0.393
20600000,474,2556.05,-59992,494.178,0.375
20650000,422,2304.89,-59959.2,388.234,0.397
20700000,424,2338.05,-59924.9,431.369,0.415
20750000,449,2445.35,-59918,494.189,0.394
20800000,450,2442.67,-59975.8,387.665,0.386
20850000,475,2622.42,-59958.9,485.589,0.355
20900000,491,2715.94,-59961.5,508.356,0.406
20950000,501,2728.8,-59928.3,488.711,0.405
21000000,485,2674.87,-59971.2,492.37,0.401
21050000,483,2597.82,-59974.3,506.009,0.378
21100000,484,2587.99,-59943.6,491.08,0.396
21150000,467,2534.68,-59973.9,443.676,0.41
21200000,478,2613.45,-59971.4,459.944,0.387
21250000,475,2603.67,-59973.4,457.19,0.376
21300000,458,2479.67,-59956.4,451.21,0.373
21350000,445,2432.86,-59928.3,431.416,0.39
21400000,450,2433.94,-59978.7,441.111,0.41
21450000,440,2415.16,-59980.5,446.348,0.399
21500000,453,2429.67,-59995.8,512.42,0.395
21550000,450,2490.25,-59963.4,450.101,0.407
21600000,484,2652,-59964.6,472.15,0.408
21650000,484,2661.51,-59954.3,525.792,0.426
21700000,473,2543.99,-59926.2,458.235,0.417
21750000,488,2636.59,-59985.6,474.254,0.396
21800000,466,2536.95,-59997.4,471.781,0.413
21850000,485,2596.59,-59882.1,485.257,0.42
21900000,475,2629.97,-59868.3,486.48,0.41
21950000,478,2630.54,-59886.5,445.873,0.407
22000000,507,2781.47,-59917.5,473.516,0.398
22050000,508,2803.85,-59928.1,507.173,0.393
22100000,472,2557.89,-59951,497.856,0.395
22150000,473,2581.99,-59947.3,505.372,0.434
22200000,465,2568.66,-59930.5,443.6,0.397
22250000,503,2758.38,-59958.6,547.326,0.413
22300000,469,2566.38,-59965.5,473.753,0.426
22350000,501,2752.16,-59954.9,506.336,0.396
22400000,494,2678.7,-59963.5,515.862,0.403
22450000,506,2761.36,-59949.6,506.208,0.391
22500000,493,2651.48,-59935.5,466.978,0.415
22550000,462,2460.66,-59924.3,462.782,0.38
22600000,478,2589.62,-59983.3,434.078,0.421
22650000,486,2656.01,-59946.8,520.941,0.383
22700000,484,2685.45,-59887.8,451.39,0.401
22750000,483,2647.82,-59883.1,489.134,0.372
22800000,491,2696.89,-59922.2,490.294,0.369
22850000,472,2611.2,-59938.3,438.34,0.378
22900000,487,2698.82,-59927.3,459.245,0.415
22950000,483,2644.28,-59914,490.038,0.418
23000000,456,2520.57,-59936.1,444.684,0.397
23050000,447,2451.58,-59938.8,464.03,0.439
23100000,471,2586.8,-59993.7,442.253,0.388
23150000,477,2589.18,-59937,432.143,0.395
23200000,500,2736.6,-59922,528.095,0.395
23250000,477,2570.09,-59932.9,464.302,0.41
23300000,466,2514.93,-59937.3,478.788,0.396
23350000,466,2510.9,-59920.7,420.664,0.371
23400000,467,2504.27,-59969.4,442.444,0.43
23450000,460,2502.48,-59949.2,441.919,0.42
23500000,448,2476.08,-59936.1,396.832,0.393
23550000,465,2577.95,-59902.4,463.045,0.407
23600000,455,2494.47,-59952.3,464.889,0.393
23650000,452,2444.5,-59942.3,444.137,0.388
23700000,458,2480.16,-59932.4,438.734,0.385
23750000,449,2410.09,-59896,423.478,0.385
23800000,468,2538.7,-59966.8,504.32,0.37
23850000,507,2767.48,-59912.8,475.275,0.415
23900000,492,2658.89,-59928.4,448.037,0.398
23950000,477,2579.81,-59884.1,448.648,0.398
24000000,478,2608.5,-59904.1,488.408,0.399
24050000,511,2818.22,-59929.7,481.71,0.404
24100000,506,2767.73,-59830.3,519.334,0.364
24150000,520,2915.38,-59926.7,500.057,0.401
24200000,529,2897.3,-59971.1,506.275,0.397
24250000,525,2833.01,-59906.2,521.433,0.383
24300000,515,2777.5,-59936.4,570.175,0.382
24350000,513,2817.44,-59928.3,515.605,0.39
24400000,511,2806.08,-59937.4,519.928,0.421
24450000,496,2671.98,-59882.3,493.054,0.392
24500000,489,2672.35,-59926.9,527.316,0.401
24550000,502,2717.69,-59926.6,469.585,0.407
24600000,500,2766.9,-59887.4,515.09,0.41
24650000,491,2668.46,-59930.5,478.651,0.388
24700000,492,2665.55,-59943.3,518.487,0.392
24750000,510,2764.32,-59959.5,524.311,0.376
24800000,491,2695.97,-59964.2,426.819,0.408
24850000,504,2780.76,-59911.7,455.918,0.394
24900000,518,2867.14,-59874.1,519.385,0.423
24950000,515,2829.16,-59929.2,505.731,0.39
25000000,497,2794.09,-59907.5,514.75,0.397
25050000,460,2508.85,-60010.1,468.645,0.38
25100000,448,2463.49,-59990.2,463.109,0.403
25150000,452,2491.41,-59964.3,393.246,0.392
25200000,468,2556.72,-59918.5,439.224,0.406
25250000,475,2573.18,-59948.9,466.23,0.382
25300000,483,2642.04,-59914.4,516.22,0.414
25350000,479,2597.15,-59952,502.202,0.398
25400000,478,2650.82,-59927.5,463.925,0.385
25450000,476,2623.31,-59997,439.623,0.411
25500000,490,2674.17,-59986.7,522.987,0.376
25550000,512,2827.68,-59948.4,474.202,0.406
25600000,499,2735.59,-59954.6,507.598,0.385
25650000,510,2807.5,-59880.9,509.718,0.434
25700000,510,2788.84,-59913.1,546.524,0.413
25750000,450,2412.01,-59920.6,411.205,0.39
25800000,491,2668.55,-59873.3,460.488,0.388
25850000,493,2681.56,-59895.9,491.843,0.414
25900000,501,2757.59,-59870.2,505.794,0.395
25950000,502,2782.69,-59861.8,483.204,0.387
26000000,484,2605.17,-59903.6,471.325,0.411
26050000,507,2788.39,-59954.7,493.731,0.391
26100000,505,2821.44,-59905.1,497.724,0.387
26150000,515,2851.47,-59902.1,472.339,0.385
26200000,496,2707.35,-59896.2,471.804,0.408
26250000,523,2882.19,-59948.5,462.049,0.417
26300000,548,2974.85,-59915.9,527.765,0.378
26350000,529,2894.13,-59929,533.888,0.441
26400000,533,2888.98,-59942.5,503.872,0.411
26450000,505,2791.44,-59930.2,497.243,0.406
26500000,493,2713.53,-59986.5,497.058,0.421
26550000,499,2754.47,-59997.6,460.203,0.4
26600000,489,2703.13,-60017.7,483.489,0.442
26650000,492,2694.17,-59953.2,483.314,0.378
26700000,475,2619.48,-59959.2,471.858,0.383
26750000,470,2574.56,-59945.6,441.85,0.377
26800000,470,2577.89,-59945.2,455.326,0.411
26850000,517,2792,-59961.3,513.119,0.407
26900000,469,2546.23,-60004.4,487.125,0.386
26950000,479,2591.28,-60017.8,471.835,0.384
27000000,480,2645.45,-60003.5,464.206,0.422
27050000,459,2505.37,-60037.9,453.321,0.396
27100000,446,2435.28,-60000,460.473,0.387
27150000,411,2293.89,-59997.7,402.114,0.399
27200000,408,2215.97,-59988,433.382,0.379
27250000,432,2380.01,-60048.7,396.515,0.371
27300000,406,2244.93,-60072.9,387.184,0.401667
27350000,435,2447.95,-60009.1,418.315,0.414
27400000,427,2340,-60020.4,420.768,0.407
27450000,424,2356.88,-60048.9,397.792,0.388
27500000,452,2489.04,-59993.4,479.274,0.425
27550000,466,2565.96,-59996.5,446.378,0.396
27600000,496,2753.25,-59900.4,502.181,0.421
27650000,488,2681.42,-59908.4,475.042,0.4
27700000,446,2463.37,-59887.8,411.63,0.393
27750000,458,2518.33,-59975.3,463.703,0.424
27800000,451,2477.01,-60020.7,462.719,0.408
27850000,464,2552.02,-59948.8,449.095,0.409
27900000,481,2670.18,-59971.8,470.097,0.4
27950000,502,2740.97,-59936.6,519.858,0.396
28000000,481,2660.22,-60014.6,457.68,0.394
28050000,455,2522.29,-59934.4,443.714,0.394
28100000,463,2517.52,-59967.3,444.825,0.417
28150000,462,2529.64,-59937.8,495.114,0.394
28200000,494,2696.29,-59926.5,492.523,0.406
28250000,509,2773.89,-60008.9,502.905,0.416
28300000,495,2721.7,-59959.4,517.295,0.404
28350000,495,2702.25,-60018.7,465.154,0.42
28400000,522,2851.18,-59973.8,530.581,0.402
28450000,512,2770.22,-59973.7,480.279,0.409
28500000,514,2794.39,-59987.9,462.942,0.373
28550000,484,2689.92,-59966.3,462.625,0.397
28600000,491,2684.1,-59969.2,461.171,0.402
28650000,507,2780.1,-59947,531.049,0.408
28700000,486,2668.58,-59969.3,461.753,0.391
28750000,494,2723.69,-59937.7,471.178,0.404
28800000,496,2730.26,-59936.9,484.245,0.357
28850000,486,2699.57,-59924.9,515.381,0.408
28900000,469,2607.46,-59989.8,447.784,0.39
28950000,467,2570.16,-60011.4,450.339,0.407
29000000,474,2660.41,-59937.5,443.288,0.415
29050000,482,2637.2,-59893.1,501.264,0.39
29100000,524,2910.16,-59924.2,530.155,0.383
29150000,529,2895.47,-59908.5,498.222,0.42
29200000,539,2927.36,-59899.7,487.271,0.39
29250000,546,2957.3,-59838.6,529.42,0.393
29300000,569,3073,-59880.5,522.88,0.409
29350000,572,3179,-59845.1,566.186,0.411
29400000,555,3052.89,-59789.6,577.143,0.404
29450000,579,3194.09,-59822.6,571.789,0.415
29500000,574,3199.93,-59829.7,539.673,0.413
29550000,524,2934.65,-59859.1,496.268,0.43
29600000,516,2837.72,-59904.1,536.893,0.396
29650000,500,2763.95,-59910.1,468.831,0.403
29700000,500,2739.98,-59965.5,493.021,0.415
29750000,471,2539.15,-59977.9,484.777,0.375
29800000,474,2611.99,-59942,453.018,0.397
29850000,498,2742.58,-59950.2,487.841,0.369
29900000,504,2790.72,-59920.2,492.865,0.409
29950000,507,2820.41,-59886.8,475.431,0.38
30000000,485,2666.06,-59918.9,456.29,0.415
30050000,480,2630.41,-59904.1,497.114,0.386
30100000,470,2575.61,-59962.3,458.904,0.398
30150000,489,2702.79,-59857.6,486.342,0.38
30200000,492,2685.48,-59932.5,541.13,0.4
30250000,444,2489.9,-59926.8,407.832,0.415
30300000,420,2306.78,-60005.3,413.84,0.389131
30350000,454,2491.79,-59967,421.17,0.382
30400000,438,2407.37,-59989.8,404.916,0.375
30450000,447,2495.08,-59976.1,433.762,0.401
30500000,452,2513.02,-59943.4,449.442,0.376
30550000,466,2593.18,-59963.9,448.793,0.394
30600000,494,2699.69,-59989.4,508.245,0.395
30650000,509,2746.39,-59930.4,473.909,0.368
30700000,494,2704.38,-59933,496.785,0.4
30750000,495,2718.21,-59973.4,435.931,0.396
30800000,472,2606.6,-59937.2,465.101,0.393
30850000,496,2700.8,-59893,491.129,0.403
30900000,512,2784.12,-59908.4,492.257,0.394
30950000,496,2723.17,-59943.6,493.561,0.392
31000000,474,2644.81,-59950.7,478.612,0.427
31050000,451,2549.69,-59969.4,467.07,0.423
31100000,442,2395.93,-59987.3,420.724,0.375
31150000,454,2487.16,-59989.8,464.639,0.397167
31200000,457,2497.45,-59990.1,466.161,0.404
31250000,438,2351.61,-59996.7,418.484,0.366
31300000,420,2263.55,-59994.3,386.546,0.419
31350000,414,2280.37,-59993.1,412.885,0.413
31400000,416,2274.36,-60009.6,419.104,0.385
31450000,428,2371.44,-60016.5,431.895,0.405
31500000,481,2627.71,-59997.6,489.2,0.409
31550000,481,2656.49,-59994.5,458.05,0.372
31600000,459,2537.63,-59928.9,473.967,0.405
31650000,465,2567.73,-59975.1,482.961,0.392
31700000,474,2605.02,-59958.4,459.904,0.39
31750000,461,2517.13,-60027.7,443.984,0.394
31800000,475,2638.7,-59996.2,450.096,0.415
31850000,489,2698.81,-59987.3,488.557,0.412
31900000,462,2590.64,-59960.2,456.682,0.399
31950000,481,2619.02,-59963.3,477.024,0.396
32000000,497,2740.56,-59958.5,466.874,0.388
32050000,500,2746.74,-59916.8,510.434,0.382
32100000,495,2703.17,-59945.4,489.331,0.407
32150000,505,2769.24,-59943,514.568,0.411
32200000,515,2813.86,-59964.1,491.314,0.402
32250000,453,2471.52,-59992.4,420.786,0.403
32300000,488,2650.64,-59903.6,485.501,0.424
32350000,484,2634.27,-59933.8,486.626,0.414
32400000,486,2630.15,-59992.6,493.803,0.388
32450000,456,2584.92,-59983.3,451.87,0.416
32500000,468,2604.42,-59979.8,488.95,0.391
32550000,498,2748.32,-59970.8,477.378,0.405
32600000,451,2492.8,-59959.4,447.189,0.404
32650000,460,2522.92,-59976.3,448.742,0.424
32700000,463,2579.62,-59956.8,435.24,0.403
32750000,440,2436.58,-59975.3,431.338,0.391
32800000,460,2594.9,-59975.3,466.595,0.355
32850000,455,2486.02,-59981.3,496.315,0.41
32900000,463,2575.34,-59973.3,464.148,0.385
32950000,482,2659.62,-59969.3,495.019,0.395
33000000,515,2840.33,-59932.3,535.447,0.419
33050000,532,2935.98,-59871.9,474.748,0.417
33100000,530,2906.15,-59913.9,505.107,0.383
33150000,502,2768.72,-59950.5,490.815,0.39
33200000,486,2658,-59971,493.817,0.38
33250000,489,2672.1,-59926.7,450.755,0.417
33300000,449,2441.13,-59947.9,419.997,0.376
33350000,458,2531.2,-59954,433.939,0.397
33400000,486,2691.42,-59991.2,479.146,0.405
33450000,445,2474.16,-59988,407.759,0.391
33500000,469,2589.83,-59969.7,450.496,0.394
33550000,498,2751.13,-59957.9,479.953,0.418
33600000,469,2540.97,-59993.5,464.718,0.415
33650000,453,2495.7,-59975.3,409.414,0.42
33700000,494,2708.48,-59919.6,478.814,0.425
33750000,495,2733.43,-59931.3,446.725,0.412
33800000,460,2534.44,-59923,475.956,0.392
33850000,474,2646.03,-59903.5,448.148,0.406
33900000,488,2671.95,-59924.3,505.558,0.4
33950000,523,2843.28,-59895.7,521.088,0.415
34000000,494,2675.45,-59923,432.743,0.419
34050000,493,2711.72,-59902.8,493.904,0.413
34100000,512,2829.15,-59925.9,500.898,0.377
34150000,535,2968.79,-59904.6,539.609,0.38
34200000,514,2848.31,-59945.3,520.023,0.385
34250000,538,2934.78,-59922.9,514.393,0.388
34300000,506,2776.69,-59954.3,501.514,0.391
34350000,515,2830.64,-59959,524.47,0.43
34400000,521,2870.21,-59956.1,492.33,0.401
34450000,532,2924.45,-59922.4,538.984,0.383
34500000,517,2823.08,-59897.4,542.343,0.422
34550000,505,2768.2,-59929.2,512.677,0.41
