generation,N_shifts,logPrior,logLik,eventRate,acceptRate
40950000,432,2344.18,-60000.3,429.174,0.378
41000000,470,2550.56,-60035.3,452.069,0.383
41050000,488,2696.4,-60017.8,471.219,0.407
41100000,507,2840.73,-60016.1,495.211,0.407
41150000,492,2734.84,-60001.5,477.841,0.38
41200000,489,2717.31,-60013.6,486.824,0.386
41250000,465,2554.99,-60040.2,521.248,0.386
41300000,448,2487.04,-59950.6,437.879,0.389
41350000,467,2535.01,-60003.6,457.361,0.391
41400000,484,2631.45,-60022.5,451.921,0.433
41450000,482,2656.73,-60026.3,494.404,0.396
41500000,487,2700.63,-59988.3,498.653,0.39
41550000,473,2621.76,-59962.9,457.235,0.394
41600000,493,2770.21,-59954.5,478.302,0.397
41650000,511,2806.48,-59942.1,502.268,0.418
41700000,472,2580.16,-59951.6,441.561,0.373
41750000,454,2503.02,-60005.3,492.55,0.385
41800000,471,2554.01,-59963.8,483.209,0.383
41850000,484,2647.46,-59937.2,453.24,0.398
41900000,496,2744.01,-59934.9,493.402,0.392
41950000,483,2644.89,-59944.3,491.471,0.413
42000000,464,2561.52,-59942.8,505.934,0.404
42050000,472,2565.14,-60012.7,476.326,0.39225
42100000,481,2644.44,-59949.2,461.728,0.393
42150000,496,2717.37,-59954.7,437.031,0.431
42200000,481,2604.59,-59983.7,482.515,0.357
42250000,477,2600.43,-59960.3,499,0.414
42300000,465,2566.27,-59914.5,461.969,0.398286
42350000,494,2738.24,-59962.8,512.121,0.401
42400000,500,2743.84,-59929.2,526.499,0.422
42450000,501,2775.34,-59924.8,514.989,0.412
42500000,498,2725.32,-59941.9,457.319,0.384
42550000,493,2730.2,-59914.6,495.177,0.411
42600000,481,2679.52,-59929.1,455.075,0.404
42650000,470,2563.51,-59942.8,475.5,0.4
42700000,469,2573.4,-59933.6,439.602,0.408
42750000,498,2702.69,-59925.6,491.8,0.394
42800000,486,2653.75,-59946.9,507.696,0.376
42850000,443,2399.15,-59913.9,403.852,0.402
42900000,451,2451.93,-59955.9,444.034,0.404
42950000,444,2424.58,-59930.2,483.467,0.403
43000000,437,2386.58,-59964.4,439.482,0.372
43050000,423,2363.31,-59989.5,400.7,0.399
43100000,446,2465.09,-59980.2,442.977,0.401
43150000,488,2657.68,-59970.9,467.64,0.403
43200000,481,2660.83,-59974.9,456.223,0.408
43250000,470,2570.74,-59966.3,468.653,0.395
43300000,461,2589.53,-59950.4,426.599,0.393
43350000,480,2626.02,-59956.9,433.817,0.42
43400000,476,2613.1,-59915.7,443.198,0.412
43450000,489,2667.05,-59973.9,440.562,0.425
43500000,506,2768.94,-59953.2,467.7,0.406
43550000,482,2625.68,-59919.9,454.218,0.406
43600000,492,2612.51,-59894.1,487.7,0.395
43650000,478,2588.52,-59888.3,456.238,0.38
43700000,478,2541.66,-59866.3,457.479,0.401
43750000,517,2770.92,-59893.7,548.154,0.39
43800000,547,2997.1,-59872.4,529.66,0.414
43850000,534,2856.7,-59887,518.462,0.382
43900000,518,2754.41,-59894.8,505.232,0.406
43950000,533,2853.73,-59913.7,521.124,0.382
44000000,544,2954.14,-59892.6,504.359,0.406
44050000,542,2979.09,-59958.5,533.612,0.414
44100000,507,2795.09,-59909.6,471.285,0.408
44150000,492,2697.6,-59879.4,478.779,0.404
44200000,453,2437.52,-59915.2,454.888,0.404
44250000,481,2632.45,-59953.5,453.824,0.413
44300000,499,2739.3,-59945.3,461.968,0.402
44350000,497,2658.97,-59958.3,512.669,0.404
44400000,485,2614.17,-59911.1,479.874,0.402
44450000,477,2587.38,-59889.5,511.614,0.371
44500000,500,2708.52,-59961.3,472.692,0.413
44550000,519,2862.53,-59909.8,492.308,0.426
44600000,554,3035,-59845.8,578.559,0.413
44650000,541,2966.17,-59880.1,526.294,0.403
44700000,518,2840.51,-59886.6,500.252,0.422
44750000,532,2888.87,-59814.3,525.956,0.39
44800000,522,2853.57,-59863.9,464.36,0.391
44850000,503,2734.55,-59863,455.964,0.388
44900000,541,2925.63,-59894.8,556.416,0.402
44950000,507,2701.43,-59932.5,538.666,0.425
45000000,483,2587.72,-59870.7,441.54,0.399
45050000,527,2848.58,-59852.5,552.582,0.388
45100000,521,2842.33,-59880.8,453.411,0.42
45150000,484,2656.16,-59955.3,487,0.391
45200000,508,2788.21,-59906.1,508.589,0.38
45250000,523,2844.42,-59888.8,525.66,0.394
